Device,Workload,Load,Duration,Power draw,Lifespan,Energy
ID,name,mode,hours,W,yr,kWh/yr
R6515,Light-medium,100%,2.4,244.2,4,213.92
R6515,Light-medium,50%,8.4,194.1,4,595.11
R6515,Light-medium,10%,7.2,132.1,4,347.16
R6515,Light-medium,Idle,6,94.7,4,207.39
R6515,Heavy,100%,3.6,244.2,4,320.88
R6515,Heavy,50%,13.2,194.1,4,935.17
R6515,Heavy,10%,4.8,132.1,4,231.44
R6515,Heavy,Idle,2.4,94.7,4,82.96
R7515,Light-medium,100%,2.4,281.5,4,246.59
R7515,Light-medium,50%,8.4,228.4,4,700.27
R7515,Light-medium,10%,7.2,164.7,4,432.83
R7515,Light-medium,Idle,6,128.4,4,281.2
R7515,Heavy,100%,3.6,281.5,4,369.89
R7515,Heavy,50%,13.2,228.4,4,1100.43
R7515,Heavy,10%,4.8,164.7,4,288.55
R7515,Heavy,Idle,2.4,128.4,4,112.48
R6525,Light-medium,100%,2.4,449.8,4,394.02
R6525,Light-medium,50%,8.4,360.3,4,1104.68
R6525,Light-medium,10%,7.2,238,4,625.46
R6525,Light-medium,Idle,6,128.6,4,281.63
R6525,Heavy,100%,3.6,449.8,4,591.04
R6525,Heavy,50%,13.2,360.3,4,1735.93
R6525,Heavy,10%,4.8,238,4,416.98
R6525,Heavy,Idle,2.4,128.6,4,112.65
R7525,Light-medium,100%,2.4,389,4,340.76
R7525,Light-medium,50%,8.4,271.9,4,833.65
R7525,Light-medium,10%,7.2,186.4,4,489.86
R7525,Light-medium,Idle,6,102.5,4,224.48
R7525,Heavy,100%,3.6,389,4,511.15
R7525,Heavy,50%,13.2,271.9,4,1310.01
R7525,Heavy,10%,4.8,186.4,4,326.57
R7525,Heavy,Idle,2.4,102.5,4,89.79
